id,comment,label
108,创建一个 homework 目录，建立名为 1.txt~10.txt 文件，并删除 1.txt~5.txt  touch {1..10}.txt rm {1..5}.txt  Linux 的日志文件在哪个目录？ /var/log,0
109,在python中，True and True的结果就是第二个True的值吗？,0
110,第一步clone的时候卡主不动了,-1
111,这个学习了有什么用？我就是纯粹好奇，工作和专业都和这个无关，个人学习了自己能做哪些好玩的东西？,0
112,联网的教程肯定有细微的变化，特别是写 Python 抓取某网站的教程。  页面过一段时间变一次。一旦变化， css 结构也跟着变。所以课程不好维护。  只能尽量把原理说清，课程中会有哪些知识点。知识点都懂了，东西肯定做得出来。  举个例子，内网穿透那个网站，万一哪天用不了，你可以自己搭个 VPS 效果也是一样的。  原则上都是需要一个网站地址接收 token 值。只是看你用什么方式接收。,-1
113,文档中直方图部分 256种颜色  写成了256中颜色,1
114,内容循序渐进，学习起来很快，挺好的课程。,2
115,@全体成员  这个今天至9月30日开始加班   周一到周四 晚上9点 及周六一天,1
116,部分代码有问题，提供的实验无法完成。,0
117,继续强化 排序命令跟管道命令,1
118,为啥我用touch提示我没有权限？,0
119,有效时间有点坑，提供的界面有点卡，不想用,-1
120,手机上怎么敲 你教我？,0
121,"21分钟, 一般...",1
122,感觉不太会，刚刚入门都还不算,-1
123,没有搞懂怎么进入实验,0
124,不错不错 ， 长知识了。,2
125,老师：在实验中出现这个怎么办啊，执行virsh louvm1 start的时候：failed to create controller cpu for group,0
126,不错的实验环境，大力支持！,2
127,该课进去做了环境升级和文档优化，现已更新。,1
128,python2和python3不兼容   现在只能是去学python3，这个教程不适合我,-1
129,这个课程是需要联网才能下载Vue.js文件吗？也没个说明一下啊,0
130,该课程是限免课程，时间过了就自动收入会员课程了。,1
131,逆水行舟日进一尺，水滴石穿大业可成,1
132,MyQR库简单易用，参数记牢就行,1
133,"Users改成 `< li class=""{{ (isset($page) and ($page == 'users')) ? 'am-active' : '' }}"">< a href=""{{ URL::to('admin/users') }}"">Users</a></li>`",0
134,非常不错的一种学习方式,2
135,打卡打卡,1
136,虽然试验成功了，但我还是不理解为什么是那个地方的esp加上100就是shellcode的地址，根据我的思考，那个地方的esp应该是存放返回地址的地方，是四个问号的存放点啊。,0
137,网络很有意思，大家加油,2
138,shiyanlou提供的虚拟环境速度太慢了，卡成 ppt,-1
139,Java字符串类（java.lang.String）是Java中使用最多的类,1
140,学会了安装linux应用,1
141,加油吧，少年，付出会有回报的，以后的你会感谢现在的你的！,2
142,收获有效学习时间 9 分钟，距离 28 楼只差 14 分钟，继续努力！  敲30分钟代码上升一楼，欢迎加入百楼俱乐部,1
143,实验1中的2.2.1.2章节，请你仔细查看教程。,1
144,环境有问题，无法打开桌面浏览器,-1
145,基础文档缺乏，没经验的人看起来好累,-1
146,脚本文件最后一步总是提示语法错误，难受,-1
147,再执行 http 127.0.0.1:8080/something.html 之后没有数据 只有源码 {path}这些不会更改呀,-1
148,成功运行了，但是我不知道为什么之前不能运行， 可能是我在使用 npm run dev  语句之前没使用语句  npm install 而且，运行的结果是一个框架，许多按钮是没有功能的。 实验还是挺值得这个价格的。,0
149,挺不错的在线学习系统，值得使用。,2
150,可以把以下内容整成一个sh文件： python new_task.py 1st message. python new_task.py 2nd message.. python new_task.py 3rd message... python new_task.py 4th message.... python new_task.py 5fith message.....,1
151,通过图床可以在实验环境里下载你的图片，但需要会员的连接外网功能。非会员可以学会后在自己的环境里玩一下,1
152,卡在第一步unzip啦，滚去ubuntu做实验hhh,-1
153,首先得说句辛苦了，这一整个下午，老师们一直在线上耐心解答。总体学下来，还是觉得很赞的。这么一个下午下来，感觉效率很高。之前也是有看过docker的书，但是发现之前看书都没有这一个下午收获的多，集中一段时间，线上老师答疑，然后自己练习，实时的反馈自己不会的地方。希望实验楼还能多出这种互动的学习课程。真的很赞。,-1
154,挺不错的教程，谢谢,2
155,真实介入，感觉很好 了解很透彻,2
156,sudo apt-get install python-numpy python-scipy python-matplot ipython 提示，未发现python-matplot包,1
157,邀请码是闹哪样？要交费就交费...弄个邀请码是干啥,0
158,感觉挺好的，实验楼！！！,2
159,这个实验还不错， 简单 练手,2
160,我用的第四版有什么区别吗?另外7个实验是什么实验？,0
161,不知道怎么在环境中下载图片，一些案例要用到的图片去哪里找,-1
162,课程太过于简单不适合作为项目课程,-1
163,希望实验楼越做越好,1
164,建议小白看这个好一点http://www.liaoxuefeng.com/wiki/0013739516305929606dd18361248578c67b8067c8c017b000，解释的比较清楚，搞懂后可以在这练一练。,1
165,第一个python学习项目\n感觉还行。就是编辑器不好用。,2
166,"第“用户管理”的中，4、管理用户  中第一步修改nav，是不是要给Users加一个链接。。<li class=""""><a href=""#"">Users</a></li>      “#”是不是要改成什么？",0
167,实现效果很好，只不过过程还是不够清晰，希望有更多的解释,2
168,感觉实验楼是一个学习计算机知识的很好的地方！,2
169,对vim使用还是不太方便的,-1
170,希望走到100楼,1
171,很抱歉，由于环境升级造成了课程问题，我们已经将该课隐藏，会尽快修复后重新上线。,1
172,做一点基础的入门吧，这个教程可以学，那个书就别买了，网上要多少有多少，先学这个打点基础再说。然后在学习网上的各种文档。,1
173,有的例子无法实现，比如join两个字符串,-1
174,在本课程第三节存在不严谨异常 if (member.get(0)!=null) {......    数组越界(无论在测试的时候登陆注册都是会报这个错误 因改成if(member != null && member.size() > 0){ if (member.size()==0) {应该改成 if(member == null || member.size()==0){ ps如果小白在使用实验的时候影响不好.....,-1
175,request请求成功，但并没有成功的更改掉信息,1
176,尝试了下，感觉自己还要学的东西还有很多！！？,0
177,真的很不错的一个平台，易学简单。,2
178,啊，明明写过类似的，卡在编码两个小时是最骚的,-1
179,1-1.c文件要关闭  不然出错。文档没有看仔细啊,1
180,谢谢。已经加入了。加入后，在网站上和之前有什么不一样的吗？微信群是做什么的？,0
181,这个 html没有自己动手的效果，虽然这里结合 w3cschool里面，但是感觉只有板书 的效果，没有像lunix里面一样。,1
182,tf服务器是基于Linux环境下的服务器，通过从此实验，让我明白了tf服务器开发的具体步骤。,1
183,很好的教程，熟悉了java的编程及运行方法,2
184,课程循序渐进，利用例子反复练习，有利于强化记忆，非常好！！！,2
185,请问，学习这个训练营需要什么语言基础么？,0
186,觉得有时候内部系统的输入法切换接收太慢了，不知道是不是自己电脑的原因还是内部原因。,-1
187,作业不会做，好气啊~ 分明没有学创建文件夹mkdir， 那怎么在/opt/下创建forloutest呢？,0
188,可以先学习Linux入门课程：https://www.shiyanlou.com/courses/1,1
189,为什么会有这种代码？？？      if foundletter == False and inletter == True:             foundletter = True             start = y          if foundletter == True and inletter == False:             foundletter = False,0
190,有没有已经学完这个课程的朋友，感觉怎么样，值得购买吗？毕竟分享时代，各种学费成千上万的培训班的视频某度云都有， csdn博客园里大神的笔记教程也一大堆。想知道这个课程内容相比网上公开分享的是否更精良，值得付费吗？,0
191,会员保存的环境下次就无法打开了。。。,-1
192,新手，懵懵的！,-1
193,还是有些不了解C语言，不太理解为什么这么打代码》》》,0
194,为何无法侦测键盘活动呢,-1
195,不好意思打扰问一下，怎么运行test.txt啊？,0
196,内容不太详细，也没有循序渐进的指导风格0.0,-1
197,前几天看写的代码看得我脑袋都快崩了。。变量命名混乱，无注释。。现在告诉我审查不严格？呵呵？？,0
198,首先find /etc/xxx -name sources.list 然后 cd 至该目录  然后 ls -l 看一下目录下文件的权限和所属用户 然后 chown sources.list shiyanlou 然后 chmod 700 sources.list  中间有一次误改了source.list。。。,1
199,真是太棒了，步骤很详细,2
200,感觉还是很有收获的，尤其是几个简单的代码示例，让我觉得很用的点，包括对哈希指针的解释、区块链的例子、Merkle tree的例子，还有对算力的解释。第一节公钥私钥部分输出的4项其实没有解释清楚，为什么私钥还要再包一层....,0
201,还不错  但实验环境好像有问题,2
202,突然连不上了，不知道我这个会员买来干嘛，脑子有坑,-1
203,刚开始接触Linux，感到新奇。首次接触Markdown有点不习惯，加油拉~,1
204,不是很懂linux中的编辑过程，不会创建文件将touch应用,-1
205,不知道为什么，桌面一会打开一会隐藏，搞的我没办法实验了。。。。,0
206,那个是解释“双重支付”，也就是说在第一次支付完成但接收方尚未确认的情况下，你饭卡里的余额和刷卡前的余额是一样的，仍然可以继续用作支付，可以再在其他的地方支付第二次，甚至更多次~,-1
207,很不错很不错,2
208,微信支付还不能扫图片，你们这做的太烂了吧,-1
209,终于能用了……看来只能等东八区的小伙伴们都入眠了……才可以在试验楼里欢快的敲代码（,1
210,手册是拿来查的。你要讲解python就应该有点态度，站在一个从初学者能到做开发的水准。尽量有调理，尽量更成体系 。,1
211,javase 部分 还有很多     IO 异常 集合 接口 网络协议 多线程   希望继续更新下去   好期待  应该多加一些练习题,1
212,还不错哦 内容感觉比慕课网多,2
213,由于电脑太卡，在线学习linux太爽了，记不住参数的，还可以边学边看,-1
214,只看了一下第一课，感觉应该会好用，不知道和Numpy相比是怎么样。然后，后面两课没看，目前这种数学方面的应用还是不多。,-1
215,哔哩啪啦打了一堆代码，还是没看懂啥意思,-1
216,实用，但是数据库成绩检测为啥还分大小写，数据库不是不分大小写吗？,0
217,小白如我，使用Python3.5.2 在Linux CentOS7，window 10 中成功将该实验写完，目前请求接口已经是最新的咯。我在简书上写成了文章，欢迎大家学习，共同学习。http://www.jianshu.com/p/b3424e98a08b,1
218,真心不错  但是最后可以加上编译安装嘛,2
219,学习方式没有高低，适合自己的最好，动手实践的方式是经过很多人实践后确定有效的学习方式，也是国内外很多编程大牛推荐的。另外Linux是开发人员使用率最高的系统，了解Linux的基础操作即可在实验楼进行实验了，所需的学习时间并不多。还是要抱歉我们没有达到您的要求，后续有任何意见和反馈都可以通过邮件提给我们，也祝您早日找到合适的学习方式，能在编程上实现自我。,1
220,不错，期间代码输入错误多次，延长了事件,2
221,改不出错误,-1
222,好卡啊 为什么只能有6次使用机会,0
223,我去。 这都是两年前的教学视频了？？？？  我才知道docker...,0
224,还好，作为第一课挺好的,2
225,为什么没有Window系统的或者双系统的？不从事IT行业的。Linux没学过的。我想吃个蛋炒饭，还的把整个新东方买下来？,0
226,很有意思的互动实验,2
227,堆排序有点难度，认真分析步骤和学习代码,1
228,今天实验楼怎么回事呀，界面出不来 ，一直黑屏,-1
229,实在抱歉，应该是先前梳理 NodeJS 课程时批量调整的错误。  我让课程的同事查了下原因，先前NodeJS 课程中因为实验环境不能联网的问题，免费用户使用会有问题，我们统一把一批 NodeJS 课程归入了会员中，操作中没有检查课程的问题。你的课程应该是项目课大赛收录的课程，不是付费投稿收入的课程，不该收入到会员中，课程已经下线了。  再次说声抱歉。以后不会出现这种工作的错误了。如果还有任何问题，欢迎随时邮件给我 support@shiyanlou.com。,-1
230,太棒了，十分好的课程，环境也不错！以后这就是我的基地了！,2
231,其实，我们在其它的课程中看别人的代码时也需要用到这个功能，这样可以直接在实验楼里通过操作别人的代码来了解别人的思路，进而优化自己的实验和代码。,1
232,感觉后面都是运维的东西了，测试学起来号费劲啊,1
233,完成C语言基础，对指针还有些疑惑，需要进阶学习,1
234,第一次使用该环境，试用一下下，非常棒！！,2
235,当前更新了11个实验，教师这边尽快更新。十分抱歉，我们将会在所有实验完全更新后，重置时间有效期。给你带来不便表示十分的抱歉。,1
236,讨论区？是在哪勒？可能刚用不久，没多少了解，谢谢,0
237,这个课程使用的gedit，一般是不会卡的，卡顿一般和网络有关。可以先切换到字符界面敲代码，或者用会员客户端或SSH直连的方式打开，可以大大降低卡顿。,-1
238,感觉不错，很好的学习方法！,2
239,真的很不错，谢谢,2
240,里面的代码没法运行？,0
241,.zshrc里设置变量，没有加export，现在想想是不是应该加上export？,0
242,我还以为可以保存多个实验环境，结果创建新的就只能替换就的啊,1
243,深刻易懂，很好的学习方式。,2
244,曹尼玛,-1
245,wget下载不了安装包,-1
246,你好 请问这个web训练营  使用Go语言开发在线商城  可以加上最终结果预览吗 这个Web项目看不到页面预览也不知道最终什么效果,0
247,感觉这个实验没法做，第一步就找不到。,-1
248,了解了如何：创建/删除/切换用户，如何查看用户组，以及如何把用户加到用户组。学习了如何列出文件详情（ls -l），文件类型权限的表达方式，以及如何修改文件所有者（chown），变更文件权限的方法（chmod）,1
249,"课程很精彩,按照例子都可以做出来",2
250,想换一个,-1
251,产品交互做得很好，说明很详细，希望自己能坚持，一点点进步。,2
252,sudo pip3 install MyQR并不能下载下来镜像 网络不通,1
253,喜欢 很不错  实验楼超级棒,2
254,Maven创建工程失败，一直显示下载,1
255,还是可以的，就是我旁边有根...在BB,2
256,若是 docker 启动着，普通用户显示无法连接，root 用户可以执行 docker 命令的话，是因为你没有创建 docker 用户，并将你的用户加至 docker 的用户与组中，所以需要 root 用户,-1
257,vim很强大，要好好运用了。,2
258,课程2以后都是私有的么，请问如何加入？,0
259,很好，按照步骤来，一步一步似爪牙，似魔鬼的步伐。,2
260,Windows路径不是双斜杠吗？,0
261,这个课程很好，收获颇丰，免费但是质量相当好,2
262,步骤比较清晰，但是配置步骤繁琐，希望可以在此基础上对配置文件的配置步骤和思路进行讲解解释,1
263,很好的程序，如果能会员便宜点就好了,2
264,努力学习 找到好工作,2
265,文档语言描述之不通顺，代码风格之烂，c和c++混合写法看得难受。我怀疑你们公司到底有没有写c++的员工。难道是实习生写的？,0
266,实验环境真的很nice，值得珍惜,2
267,各类语言语法大同小异，关键是设计逻辑和数据结构的了解,1
268,终于完成vim四章的教程，非常开心！,2
269,有点难啊，真的有意义吗？,-1
270,用过centos系统搭云服务器的默默飘过~~~,1
271,有点难，，教程不是很详细，感觉,-1
272,请问能不能给我提供一些与这个实验相关的Python2.7以及OpenCV的书籍作为参考,0
273,这样的学习模式不错，等我吃完饭睡一下继续,2
274,要在Androidmanifest中 添加 发送短信权限。 <uses-permission android:name=”android.permission.INTERNET”></uses-permission>,1
275,你好，可能是理解角度不同。从小到大，考试和练习考察的都是之前学的内容，你学得更多的话当然可以有更好的答案，比如用未知数解鸡兔同笼，用高数解高中数学题，当然可以，但请想想老师是否允许这样做，和老师的理由。另外，实验报告是个非常好的东西，在实验报告里，你可以看到这道题，每个人都有不同的解法，我看了也非常有启发，希望可以帮到你。再罗嗦一下，报错和提问请去讨论区截个图，谁能不看代码就指出BUG？,0
276,希望将虚拟机保存24小时，一天最多保存3个！ 有时突然断网，就悲剧了！,1
277,这个实验环境做的很强，我很喜欢！,2
278,这个平台好烦  不好用   不能按照我自己的去做  草,-1
279,我的代码（按照给出的）可以运行，但是结果出来只有太阳，请问有人知道可能使什么原因造成的吗？,0
280,好给力的项目     希望继续免费,2
281,初来乍到，请多指教！,1
282,日志系统,1
283,很好，有很多基础的东西,2
284,感觉效果不错 继续坚持,2
285,效果确实不错,2
286,emmm没搞明白第二个实验为什么总测试不成功,0
287,连接错误 连接错误，请点击重新连接。如果还是连不上，请重新开始实验。 重新连接,-1
288,这个课程几乎每行代码后都有注释吧，如果有什么不清楚的地方可以去讨论区提问一下,0
289,vims真的厉害。用的不要太爽。,2
290,进行下次实验前，先打开xeyes监督自己，并借助vimtutor学习vim基础用法。,1
291,小白一枚，多多指教~,1
292,不错的学习网站,2
293,希望能给我们带来更多的内容,1
294,变量，作用域，字码流星雨,1
295,环境非常方便，希望以后也坚持学习下去,1
296,看不懂，学得糊里糊涂的,-1
297,怎么关闭轻松一下运行的程序呢？,0
298,git建立了名称之后。是敲回车么？？,0
299,"Go 语言字符串中： ""在Go语言中单个字符可以使用单引号( ' )来创建。之前的课程中，我们有学习过rune类型，它等同于unint32，在Go语言中，一个单一的字符可以用一个单一的rune来表示。这也是容易理解的，因为Go语言的字符串是UTF-8编码，其底层使用4个字节表示，也就是32 bit。"" 其中unint32 是uint32...",1
300,6666，小白表示很清晰明了，就是为什么实验报告要100+字。。。,0
301,为什么我的登录成功了，但是别人给我发消息不能自动回复呢？,0
302,stepbystep的做，很清晰接近实战。可惜有点卡，反应好慢啊,-1
303,git服务器未找到……没法继续往下做了,0
304,cowsay太酷了。这个实验后半部分很多没法操作的。而且讲的感觉都是屠龙之技啊。最主要的是实在太抽象了，我一个计科专业的完全看不懂。。,1
305,实验的阅读量有点多,-1
306,"sudo cp -r  `sudo find /etc/ -type  f -size +10k` /a 显示：cp不会以“/ect/mono?2.0?maching.config""覆盖刚创建的”/a/machine.config""； 为什么cp -r 不能把找到文件的整个目录结构一起复制到/a目录下？？求解",0
307,只有在这四周内才能学这本书么？？？我报了第一期结束后后还能学么,0
308,总体不错，但有些地方写的不清楚,2
309,第11节 go 原子计数器 启动了50个线程，执行了1秒的时间，结果怎么是40000呢？,0
310,挑战相当于考试小结，不错,2
311,收获了很多，就是有时候卡了很烦~,-1
312,sudo apt-get install python-matplotlib 成功了。,1
313,自己没有在在线实验平台做，在Ubuntu 上做出来的效果和这个有差异，主要就是图片没有完全显示,1
314,在我个人虚拟机Ubuntu16.04上做实验的时候，出现错误：ERROR 1045 (28000): Access denied for user 'root'@'localhost' (using password: NO) 解决办法：用这个命令：mysql -u root -p ps:如果出现相同问题，这句命令可能有用，也可能没用，请勿喷！,-1
315,下载代码会显示出错。这个如何解决呢？,0
316,有效学习时间则么算的？,0
317,复习linux-13 正则表达式基础,1
318,有学过C，想在复习一下，平台挺好的，加油~！,2
319,实验对于新手来说不错的，很好很强大,2
320,能否体验一下？ 不知道和会员课程的质量相比会不会有很大提升,0
321,为何会这么卡？ 用eclipse建个工程就卡死了,0
322,很方便，模拟无需安装软件，棒棒哒,2
323,点击右边栏的停止实验不起作用？,0
324,基础课里竟然还有收获，感觉自己还是差得远呐……,2
325,应该用的是编辑器或者是IDE，编辑器用起来还需要配置一下，网上可以找教程，推荐VS code或者sublime，ide就方便一些，不太需要配置啥，可以试试pycharm,-1
326,网络不通，无法下载或者更新,-1
327,* 遇到的问题： 	 * 在写好代码运行的时候出现： 	 * org.hibernate.MappingException: An AnnotationConfiguration instance is required to use ？？？ 	 * 解决的办法是： 	 * 将new Configuration().configure();==>替换为==>new AnnotationConfiguration().configure(); 	 * 原因是：即Configuration和AnnotationConfiguration区别是？？ 	 * Annotation称之为注释是JAVA SE5的新特性 	 * 它的特点是将元数据直接写在代码里，什么是元数据？元数据是数据的数据信息的信息，HIBERNATE映射文件就是一种元数据 	 * 现在一般都把映射文件写在XML格式的单独文件里与代码分开，而注释的出现可以将其和代码放一起写 	 * 如果hibernate用的是annotation作实体映射的话，就要配置AnnotationConfiguration 	 * 如果是用xml映射，就配置成Configuration,0
328,第一次使用lunix编写程序，挺好玩的,2
329,形式非常喜欢，第一次使用。,2
330,今天学习状态不好,-1
331,除了实验环境有点卡，都行,-1
332,内容编排很好，时间也基本合适,2
333,实验环境效果真差，不能按删除键，按回车会提示不能延时,-1
334,感觉还慕课网咋样？,0
335,改天再来重新学习，新建评论表卡住,-1
336,主要是看不懂，很多知识一下子反应不过来，虽然说是提问，但能否给出思考的方向，不然真的是一脸茫然,-1
337,了解了Llinux的概念，发展史和在其发展过程中的杰出人物。,1
338,效果还不错，挺喜欢这个界面,2
339,不错，但是我的实验报告还没写呢，关掉就不给写实验报告了,2
340,不迟啊，为什么会迟！坚持三个月，单车变摩托！,0
341,本课程是书籍的配套实验，出版社授权部分已经全部更新完了，如果继续学习，可以考虑去购买配套书籍，在实验楼里练习是一直免费的：）,1
342,无法直接连接远程环境，无法尝试课程内容。请尽快改善,-1
343,文字部分看完了也没有打卡msfconsole.,-1
344,代码暂时跑通了 还有点bug 不过基本不明白如何实现的,-1
345,很强大的学习平台,2
346,实验楼真的太卡了，敲个命令半天才能反映出来，用户体验怎么能好,-1
347,这水平还来做直播，教别人？不是我说话难听，至少要准备下吧，就这50行不到的代码，这么多问题，还要弹幕来提示你bug，还是好好修炼修炼吧!,0
348,能不能自由选择学习章节,0
349,觉得不适合新手，很多东西不全面，不知道什么，基本都是照着写，写完就忘了,-1
350,现在能够购买吗？我的需求就是：付钱后可以看到文档。我自己已经在电脑上配置好了GNS3。,0
351,不错，内容加实践！好,2
352,不知道为什么，shiyanlou这个用户没有你写的python程序的保存权限，无奈换了目录才可以。,0
353,请问实验文档怎么下载？,0
